Card	Reason
Soldevi Machinist	mana pool
Solitary Confinement	skip step/phase/turn
Somber Hoverguard	affinity
Songs of the Damned	mana pool
Sorin, Lord of Innistrad	multiple targets
Sorrow's Path	multiple targets
Sosuke's Summons	from graveyard
Soul Burn	mana restriction
Soul Manipulation	choose
Soul Ransom	opponent activate
Soul Stair Expedition	multiple targets
Soulbright Flamekin	mana pool
Spectral Searchlight	mana pool
Spectral Shift	choose
Spellskite	change target
Spellwild Ouphe	cost modification
Sphere of Resistance	cost modification
Spire Golem	affinity
Spite // Malice	split card
Splitting Headache	choose
Spoils of Evil	mana pool
Spoils of the Vault	name a card
Spread the Sickness	multiple targets
Springjack Pasture	mana pool
Sprout Swarm	convoke
Squallmonger	opponent activate
Squee, Goblin Nabob	from graveyard
Squeeze	cost modification
Stand // Deliver	split card
Standardize	creature type choice
Standing Stones	mana pool
Stasis	skip step/phase/turn
Steady Progress	multiple targets
Steel Sabotage	choose
Steely Resolve	creature type choice
Stinkdrinker Daredevil	cost modification
Stir the Pride	choose
Stone Calendar	cost modification
Stone-Tongue Basilisk	all block
Stonybrook Banneret	cost modification
Stormscape Familiar	cost modification
Stream of Consciousness	multiple targets
Su-Chi	mana pool
Subterranean Hanger	mana pool
Sudden Storm	multiple targets
Sulfur Vent	mana pool
Summon the School	from graveyard
Sunastian Falconer	mana pool
Sundering Vitae	convoke
Sungrass Egg	mana pool
Sungrass Prairie	mana pool
Sunken Ruins	mana pool
Sunscape Familiar	cost modification
Supply // Demand	split card
Suppression Field	cost modification
Svyelunite Temple	mana pool
Sword of the Meek	from graveyard
Sylvan Library	choose
Symbiotic Deployment	skip step/phase/turn
Tablet of the Guilds	multiple targets
Talruum Piper	all block
Tangle Golem	affinity
Tangleroot	mana pool
Task Mage Assembly	opponent activate
Taunting Challenge	all block
Taunting Elf	all block
Teferi's Isle	mana pool
Tempest Owl	multiple targets
Temple of the False God	mana pool
Temporal Cascade	choose
Tempting Licid	all block
Terashi's Cry	multiple targets
Terastodon	multiple targets
Teremko Griffin	banding
Terrarion	mana pool
Tezzeret the Seeker	multiple targets
Tezzeret's Gambit	multiple targets
Thalia, Guardian of Thraben	cost modification
Thelon's Curse	multiple targets
Thermopod	mana pool
Thorn of Amethyst	cost modification
Thornscape Familiar	cost modification
Thought Hemorrhage	name a card
Thoughtcast	cost modification
Thran Dynamo	mana pool
Thran Turbine	mana pool
Throne of Geth	multiple targets
Thrummingbird	multiple targets
Thunderbolt	choose
Thunderscape Familiar	cost modification
Tidal Control	opponent activate
Tidal Surge	multiple targets
Tilling Treefolk	multiple targets
Time Vault	skip step/phase/turn
Timebender	choose
Timecrafting	choose
Timmerian Fiends	ante
Tinder Farm	mana pool
Tinder Wall	mana pool
Toil // Trouble	split card
Tolarian Academy	mana pool
Tooth and Nail	choose
Tooth of Chiss-Goria	affinity
Torpor Orb	don't cause abilities to trigger
Trace of Abundance	mana pool
Travel Preparations	multiple targets
Treva's Attendant	mana pool
Treva's Charm	choose
Trial // Error	split card
Triassic Egg	choose
Tribal Unity	creature type choice
Trickery Charm	choose
Trinisphere	cost modification
Triton Tactics	multiple targets
Tsabo's Decree	creature type choice
Tunnel Vision	name a card
Turn // Burn	split card
Twilight Mire	mana pool
Tymaret, the Murder King	from graveyard
Ulasht, the Hate Seed	choose
Unburial Rites	from graveyard
Undead Gladiator	from graveyard
Undead Warchief	cost modification
Unearthly Blizzard	multiple targets
Unknown Shores	mana pool
Unnatural Selection	creature type choice
Untaidake, the Cloud Keeper	mana pool
Upwelling	mana pool
Ur-Golem's Eye	mana pool
Urborg Uprising	multiple targets
Urza's Avenger	banding
Urza's Engine	banding
Urza's Filter	cost modification
Urza's Incubator	cost modification
Urza's Mine	mana pool
Urza's Power Plant	mana pool
Urza's Tower	mana pool
Utopia Mycon	mana pool
Utopia Sprawl	mana pool
Valleymaker	mana pool
Vedalken Engineer	mana pool
Veilborn Ghoul	from graveyard
Veiling Oddity	suspend
Vengevine	from graveyard
Ventifact Bottle	mana pool
Verdant Eidolon	mana pool
Verdant Haven	mana pool
Vernal Bloom	mana pool
Victimize	multiple targets
Vile Requiem	multiple targets
Vintara Elephant	opponent activate
Viral Drake	multiple targets
Viridian Acolyte	mana pool
Viridian Joiner	mana pool
Viscerid Deepwalker	suspend
Vision Charm	choose
Vitality Charm	choose
Voidstone Gargoyle	name a card
Volcanic Wind	divided damage
Volley of Boulders	divided damage
Volrath's Dungeon	opponent activate
Volrath's Laboratory	creature type choice
Volt Charge	multiple targets
Vorinclex, Voice of Hunger	mana pool
Voyager Drake	multiple targets
Wail of the Nim	choose
Walking Desecration	creature type choice
Wall of Vipers	opponent activate
Warden of Evos Isle	cost modification
Warmonger	opponent activate
Warriors' Lesson	multiple targets
Waterspout Elemental	skip step/phase/turn
Wave Elemental	multiple targets
Waves of Aggression	additional combat phase
Wax // Wane	split card
Wear // Tear	split card
Well of Knowledge	opponent activate
Wheel of Fate	suspend
Wheel of Sun and Moon	enchant player
White Mana Battery	mana pool
Whiteout	from graveyard
Wild Growth	mana pool
Winter's Night	mana pool
Wintermoon Mesa	multiple targets
Wirewood Channeler	mana pool
Wishmonger	opponent activate
Witch Engine	mana pool
Wizards' School	mana pool
Wood Sage	name a card
Wooded Bastion	mana pool
Workhorse	mana pool
World at War	additional combat phase
Worldpurge	mana pool
Wormfang Manta	skip step/phase/turn
Worn Powerstone	mana pool
Wrap in Flames	multiple targets
Xenagos, the Reveler	mana pool
Xenograft	creature type choice
Yawgmoth's Bargain	skip step/phase/turn
Yosei, the Morning Star	multiple targets
Zerapa Minotaur	opponent activate
Zhur-Taa Ancient	mana pool
